symbol,timeframe,side,zone_low,zone_high,signal_type,timestamp,source_file
CLOUSDT,1m,resistance,0.2185,0.21977,breakout,2026-07-08T11:49:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221537.png
UNIUSDT,5m,support,3.125,3.14,breakout,2026-07-08T11:31:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221543.png
OUSDT,15m,support,0.5266,0.5315,breakout,2026-07-08T09:55:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221547.png
KORUUSDT,5m,support,498.07,502.65,breakout,2026-07-08T07:32:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221551.png
LITUSDT,3m,resistance,2.4962,2.502,breakout,2026-07-08T06:13:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221555.png
SAMSUNGUSDT,1m,resistance,196.95,197.33,breakout,2026-07-08T03:24:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221559.png
EWYUSDT,5m,resistance,184.08,184.19,breakout,2026-07-08T03:24:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221603.png
OPGUSDT,3m,resistance,0.1292,0.1294,breakout,2026-07-08T02:52:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221607.png
VANRYUSDT,3m,support,0.006276,0.0063,breakout,2026-07-08T01:47:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221613.png
ARBUSDT,1m,resistance,0.08732,0.08768,breakout,2026-07-09T20:22:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\09.07.2026\Снимок экрана 2026-07-09 221342.png
EDGEUSDT,1m,resistance,0.4361,0.4371,breakout,2026-07-09T08:51:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\09.07.2026\Снимок экрана 2026-07-09 221352.png
SYNUSDT,1m,support,0.34119,0.342,breakout,2026-07-09T06:22:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\09.07.2026\Снимок экрана 2026-07-09 221357.png
LDOUSDT,1m,support,0.3188,0.3194,breakout,2026-07-09T06:04:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\09.07.2026\Снимок экрана 2026-07-09 221401.png
SOXLUSDT,1m,support,173.61,173.68,breakout,2026-07-09T04:56:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\09.07.2026\Снимок экрана 2026-07-09 221407.png
